outcome,idx_original,y_true,y_pred,score,EDAD,PAIS,ETNIA.BN,GENERO.BN0,GENERO.BN1,ORIENTSEX.BN0,ORIENTSEX.BN1
Victim-perpetrator overlap,1,1,0,0.48647863,16.0,True,False,True,False,True,False
Victim-perpetrator overlap,2,0,1,0.58400494,17.0,True,False,False,True,True,False
Victim-perpetrator overlap,5,0,1,0.58891636,15.0,True,False,True,False,True,False
Victim-perpetrator overlap,11,0,1,0.500509,16.0,True,False,False,True,True,False
Victim-perpetrator overlap,13,0,0,0.4848857,17.0,False,False,True,False,True,False
Victim-perpetrator overlap,22,1,1,0.5193086,17.0,True,False,False,True,True,False
Victim-perpetrator overlap,23,0,1,0.58974653,15.0,False,True,True,False,True,False
Victim-perpetrator overlap,27,0,1,0.50730735,17.0,True,False,True,False,True,False
Victim-perpetrator overlap,29,0,1,0.57666254,17.0,True,False,True,False,False,True
Victim-perpetrator overlap,45,0,1,0.5050178,15.0,True,True,False,True,True,False
Victim-perpetrator overlap,46,0,0,0.49206963,14.0,True,True,True,False,True,False
Victim-perpetrator overlap,47,0,0,0.419274,14.0,True,False,True,False,True,False
Victim-perpetrator overlap,49,0,1,0.6439555,14.0,True,True,False,True,True,False
Victim-perpetrator overlap,51,0,0,0.42386493,14.0,True,False,False,True,True,False
Victim-perpetrator overlap,53,0,0,0.46163246,14.0,True,False,False,True,False,True
Victim-perpetrator overlap,58,0,0,0.44764188,14.0,True,False,False,True,True,False
Victim-perpetrator overlap,64,0,1,0.59139097,14.0,True,True,False,True,True,False
Victim-perpetrator overlap,77,0,0,0.47289336,15.0,True,False,False,True,True,False
Victim-perpetrator overlap,80,1,1,0.6213137,14.0,False,True,False,True,True,False
Victim-perpetrator overlap,81,0,0,0.4896864,15.0,True,True,True,False,True,False
Victim-perpetrator overlap,83,0,0,0.46590167,15.0,True,False,True,False,True,False
Victim-perpetrator overlap,88,0,0,0.48760262,15.0,True,False,False,True,True,False
Victim-perpetrator overlap,97,0,1,0.5483028,15.0,True,True,False,True,True,False
Victim-perpetrator overlap,98,1,1,0.61519825,15.0,True,False,False,True,True,False
Victim-perpetrator overlap,103,0,1,0.56900895,15.0,True,True,False,True,True,False
Victim-perpetrator overlap,105,1,1,0.63870233,17.0,True,False,False,True,True,False
Victim-perpetrator overlap,110,0,1,0.59481627,15.0,True,True,True,False,True,False
Victim-perpetrator overlap,118,0,0,0.45219588,17.0,True,False,False,True,True,False
Victim-perpetrator overlap,119,1,1,0.6536964,15.0,True,False,False,True,True,False
Victim-perpetrator overlap,120,0,1,0.5278077,16.0,True,True,False,True,True,False
Victim-perpetrator overlap,122,0,0,0.4529432,16.0,True,False,False,True,True,False
Victim-perpetrator overlap,125,0,1,0.58050877,15.0,False,True,True,False,True,False
Victim-perpetrator overlap,129,0,0,0.48139983,15.0,False,True,True,False,True,False
Victim-perpetrator overlap,135,0,1,0.6717177,16.0,False,True,False,True,True,False
Victim-perpetrator overlap,148,0,0,0.4164599,14.0,True,False,False,True,True,False
Victim-perpetrator overlap,150,0,0,0.39502883,14.0,True,False,False,True,True,False
Victim-perpetrator overlap,155,0,1,0.5364006,14.0,False,True,True,False,True,False
Victim-perpetrator overlap,159,0,0,0.4382216,14.0,True,False,True,False,True,False
Victim-perpetrator overlap,164,0,1,0.5892398,14.0,False,True,False,True,True,False
Victim-perpetrator overlap,167,0,0,0.4768459,17.0,True,True,True,False,True,False
Victim-perpetrator overlap,170,0,1,0.600783,16.0,False,True,False,True,True,False
Victim-perpetrator overlap,175,0,0,0.4389659,15.0,True,False,False,True,True,False
Victim-perpetrator overlap,182,0,0,0.49129692,16.0,True,True,True,False,True,False
Victim-perpetrator overlap,186,0,0,0.49793056,16.0,True,True,False,True,True,False
Victim-perpetrator overlap,192,1,1,0.6181398,17.0,True,False,True,False,True,False
Victim-perpetrator overlap,194,0,0,0.4632344,15.0,True,True,True,False,True,False
Victim-perpetrator overlap,195,0,1,0.50690585,17.0,False,False,False,True,False,True
Victim-perpetrator overlap,202,0,1,0.6589901,16.0,False,True,False,True,True,False
Victim-perpetrator overlap,203,0,1,0.5810125,17.0,True,False,True,False,True,False
Victim-perpetrator overlap,207,0,1,0.5099007,16.0,True,False,True,False,True,False
Victim-perpetrator overlap,215,0,1,0.65290314,16.0,False,True,True,False,True,False
Victim-perpetrator overlap,227,0,1,0.55404186,15.0,True,False,False,True,False,True
Victim-perpetrator overlap,233,0,0,0.4513682,15.0,True,False,False,True,True,False
Victim-perpetrator overlap,236,0,1,0.58897233,15.0,True,False,False,True,False,True
Victim-perpetrator overlap,238,0,1,0.58543944,16.0,True,False,False,True,True,False
Victim-perpetrator overlap,241,1,1,0.6355125,15.0,True,False,False,True,True,False
Victim-perpetrator overlap,250,0,0,0.45468524,16.0,True,False,True,False,True,False
Victim-perpetrator overlap,254,0,1,0.7234762,16.0,True,True,False,True,True,False
Victim-perpetrator overlap,255,0,0,0.48328656,17.0,True,True,True,False,True,False
Victim-perpetrator overlap,256,0,1,0.56154346,17.0,True,True,True,False,True,False
Victim-perpetrator overlap,258,0,0,0.41813117,16.0,True,False,False,True,True,False
Victim-perpetrator overlap,260,0,0,0.48992902,16.0,True,False,False,True,True,False
Victim-perpetrator overlap,272,1,1,0.61228997,16.0,False,True,False,True,True,False
Victim-perpetrator overlap,281,0,1,0.52536225,16.0,True,False,False,True,True,False
Victim-perpetrator overlap,292,0,1,0.5123739,16.0,True,False,False,True,True,False
Victim-perpetrator overlap,295,0,0,0.423062,16.0,True,False,True,False,True,False
Victim-perpetrator overlap,305,0,1,0.5488813,17.0,True,False,True,False,True,False
Victim-perpetrator overlap,306,0,0,0.39617258,17.0,True,False,True,False,True,False
Victim-perpetrator overlap,312,0,1,0.50712305,17.0,True,False,True,False,True,False
Victim-perpetrator overlap,317,0,0,0.493519,17.0,True,False,True,False,True,False
Victim-perpetrator overlap,320,0,0,0.4670443,17.0,True,False,False,True,True,False
Victim-perpetrator overlap,321,0,0,0.47903767,17.0,True,False,True,False,True,False
Victim-perpetrator overlap,325,0,0,0.46268314,15.0,True,True,True,False,True,False
Victim-perpetrator overlap,327,0,1,0.54485005,15.0,True,True,False,True,True,False
Victim-perpetrator overlap,331,1,1,0.67621136,15.0,True,False,False,True,True,False
Victim-perpetrator overlap,335,0,0,0.47066966,14.0,True,False,True,False,True,False
Victim-perpetrator overlap,337,0,0,0.4583514,14.0,True,False,True,False,True,False
Victim-perpetrator overlap,340,1,1,0.56511754,14.0,True,False,True,False,False,True
Victim-perpetrator overlap,342,0,1,0.5145146,14.0,True,False,True,False,True,False
Victim-perpetrator overlap,343,1,0,0.48934898,14.0,True,False,True,False,False,True
Victim-perpetrator overlap,345,0,1,0.5699545,14.0,False,True,False,True,True,False
Victim-perpetrator overlap,352,1,1,0.5057606,15.0,False,True,False,True,True,False
Victim-perpetrator overlap,363,0,1,0.5356127,14.0,True,False,False,True,True,False
Victim-perpetrator overlap,364,1,1,0.5585484,14.0,True,False,False,True,True,False
Victim-perpetrator overlap,369,1,1,0.7129688,17.0,True,False,False,True,True,False
Victim-perpetrator overlap,373,0,0,0.48373225,16.0,True,False,False,True,True,False
Victim-perpetrator overlap,382,1,0,0.48791492,15.0,True,False,True,False,True,False
Victim-perpetrator overlap,386,0,1,0.5323663,17.0,True,False,False,True,True,False
Victim-perpetrator overlap,395,0,0,0.37944055,15.0,True,False,True,False,True,False
Victim-perpetrator overlap,418,0,1,0.535033,17.0,True,False,True,False,True,False
Victim-perpetrator overlap,423,1,1,0.6133913,17.0,True,False,False,True,True,False
Victim-perpetrator overlap,428,1,1,0.6924362,15.0,True,True,False,True,True,False
Victim-perpetrator overlap,436,1,1,0.51000935,15.0,True,False,False,True,False,True
